genus	num	p	r
d_Bacteria|p_Cyanobacteria|o_Nostocales|f_Aphanizomenonaceae|g_Dolichospermum	96	0.0172692230292524	-0.525761601679029
d_Bacteria|p_Cyanobacteria|o_Nostocales|f_Aphanizomenonaceae|g_Raphidiopsis	51	0.000474615108251694	-0.708270676691729
d_Bacteria|p_Cyanobacteria|o_Nostocales|f_Rivulariaceae|g_Rivularia	30	0.0232372969950942	-0.504701051111057
d_Bacteria|p_Cyanobacteria|o_Oscillatoriales|f_Coleofasciculaceae|g_Geitlerinema	49	0.00012596538134754	-0.753297004368817
d_Bacteria|p_Cyanobacteria|o_Oscillatoriales|f_Gomontiellaceae|g_Crinalium	42	0.0375070468903194	-0.467845087617105
d_Bacteria|p_Cyanobacteria|o_Oscillatoriales|f_Microcoleaceae|g_Planktothrix	9	0.0373657590241663	-0.468150894572464
d_Bacteria|p_Cyanobacteria|o_Oscillatoriales|f_Microcoleaceae|g_Trichodesmium	30	0.0225881723805918	-0.506766917293233
d_Bacteria|p_Cyanobacteria|o_Pleurocapsales|f_Hyellaceae|g_Pleurocapsa	19	0.00149513482762421	-0.661387355743055
d_Bacteria|p_Cyanobacteria|o_Synechococcales|f_Leptolyngbyaceae|g_Leptolyngbya	311	0.0299207825255925	-0.485714285714286
d_Bacteria|p_Cyanobacteria|o_Synechococcales|f_Merismopediaceae|g_Synechocystis	213	9.79655333883022e-05	-0.760902255639098
d_Bacteria|p_Cyanobacteria|o_Synechococcales|f_Prochloraceae|g_Prochlorococcus	254	0.0188323430737666	-0.519744301516752
d_Bacteria|p_Cyanobacteria|o_Synechococcales|f_Synechococcaceae|g_Dactylococcopsis	25	0.0342431227641476	0.475151141257134
d_Bacteria|p_Cyanobacteria|o_Synechococcales|f_Synechococcaceae|g_Thermosynechococcus	59	0.0198108465257398	-0.516177723248921
d_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Denitrovibrio	66	0.0271142049419442	-0.493233082706767
d_Bacteria|p_Deinococcus-Thermus|c_Deinococci|o_Deinococcales|f_Deinococcaceae|g_Deinococcus	1933	0.0240246894652156	-0.502255639097744
d_Bacteria|p_Deinococcus-Thermus|c_Deinococci|o_Thermales|f_Thermaceae|g_Marinithermus	102	0.0182849434820976	-0.521804511278195
d_Bacteria|p_Deinococcus-Thermus|c_Deinococci|o_Thermales|f_Thermaceae|g_Meiothermus	73	0.0130826086615195	-0.544360902255639
d_Bacteria|p_Dictyoglomi|c_Dictyoglomia|o_Dictyoglomales|f_Dictyoglomaceae|g_Dictyoglomus	96	0.018327844715228	-0.521641280945627
d_Bacteria|p_Elusimicrobia|c_Elusimicrobia|o_Elusimicrobiales|f_Elusimicrobiaceae|g_Elusimicrobium	22	0.00749224025837375	-0.578848694151785
d_Bacteria|p_Elusimicrobia|c_Endomicrobia|o_Endomicrobiales|f_Endomicrobiaceae|g_Endomicrobium	51	0.0340887649466391	-0.475509881316737
d_Bacteria|p_Fibrobacteres|c_Fibrobacteria|o_Fibrobacterales|f_Fibrobacteraceae|g_Fibrobacter	366	0.0329503832149576	0.478195488721805
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Alicyclobacillaceae|g_Tumebacillus	300	0.0483728331092669	-0.446616541353383
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Amphibacillus	91	0.0144546022526998	-0.537796202003585
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Bacillus	8755	0.0216689666215354	-0.509774436090226
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Gracilibacillus	73	0.0108417532450569	-0.556390977443609
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Lysinibacillus	547	0.0047531008240938	-0.604511278195489
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Oceanobacillus	296	0.0212206441332248	-0.511278195488722
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Paraliobacillus	118	0.0190883943841925	-0.518796992481203
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Psychrobacillus	70	0.0194468199550628	-0.517487813955897
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Salimicrobium	114	0.0382081219674882	-0.466340762576535
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Bacillaceae|g_Virgibacillus	398	0.0419543116093354	-0.458646616541353
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Listeriaceae|g_Brochothrix	41	0.013027948914872	-0.544633734158655
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Listeriaceae|g_Listeria	690	0.0108417532450569	-0.556390977443609
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Paenibacillaceae|g_Saccharibacillus	363	0.028986408671254	-0.488153475664793
d_Bacteria|p_Firmicutes|c_Bacilli|o_Bacillales|f_Planococcaceae|g_Kurthia	92	0.00680729725268189	-0.584430278261239
